	Алтайский край	Амурская область	Архангельская область	Астраханская область	Белгородская область	Брянская область	Владимирская область	Волгоградская область	Вологодская область	Воронежская область	Еврейская АО	Забайкальский край	Ивановская область	Иркутская область	Кабардино-Балкарская Республика	Калининградская область	Калужская область	Камчатский край	Карачаево-Черкесская Республика	Кемеровская область	Кировская область	Костромская область	Краснодарский край	Красноярский край	Курганская область	Курская область	Ленинградская область	Липецкая область	Магаданская область	Москва	Московская область	Мурманская область	Ненецкий АО	Нижегородская область	Новгородская область	Новосибирская область	Омская область	Оренбургская область	Орловская область	Пензенская область	Пермский край	Приморский край	Псковская область	Республика Адыгея	Республика Алтай	Республика Башкортостан	Республика Бурятия	Республика Дагестан	Республика Ингушетия	Республика Калмыкия	Республика Карелия	Республика Коми	Республика Крым	Республика Марий Эл	Республика Мордовия	Республика Саха (Якутия)	Республика Северная Осетия	Республика Татарстан	Республика Тыва	Республика Хакасия	Ростовская область	Рязанская область	Самарская область	Санкт-Петербург	Саратовская область	Сахалинская область	Свердловская область	Севастополь	Смоленская область	Ставропольский край	Тамбовская область	Тверская область	Томская область	Тульская область	Тюменская область	Удмуртская Республика	Ульяновская область	Хабаровский край	Ханты-Мансийский АО	Челябинская область	Чеченская Республика	Чувашская Республика	Чукотский АО	Ямало-Ненецкий АО	Ярославская область
2020-03-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	136	0	0	0	0	0	1	0	0	0	0	5	0	2	0	0	0	2	0	0	0	0	0	0	0	0	4	0	3	0	1	0	0	2	5	0	0	7	0	0	3	0	0	1	0	0	0	0	1	2	3	0	0	0	0	0
2020-03-27	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	157	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	1
2020-03-28	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	1	8	4	0	0	4	3	0	114	36	0	0	3	0	2	0	2	0	0	1	0	0	1	0	0	6	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	11	1	4	4	0	1	0	0	0	0	3	0	0	0	0	0	4	2	0	0	0	0
2020-03-29	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	197	27	2	0	0	2	1	3	0	0	5	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	3	4	0	0	0	1
2020-03-30	1	0	4	0	3	0	2	0	2	0	0	0	2	1	2	1	1	0	0	0	3	0	0	2	0	0	2	1	0	212	7	2	0	0	0	1	0	1	0	0	2	0	3	3	0	0	5	3	0	1	0	15	0	2	0	0	0	0	0	1	0	2	0	8	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0
2020-03-31	1	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	387	0	6	0	1	0	0	0	0	0	5	0	2	0	0	0	2	6	9	0	1	0	0	1	0	0	0	0	5	0	0	3	0	1	48	0	0	9	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
2020-04-01	1	0	0	0	0	2	1	4	7	4	0	0	2	0	2	0	0	0	0	0	0	0	5	6	0	3	6	1	0	267	15	0	0	0	0	1	4	0	0	4	0	1	0	0	0	1	6	2	0	0	0	32	0	0	1	0	2	0	0	0	0	0	0	27	11	1	0	0	0	0	3	1	0	5	0	0	0	1	3	7	1	0	0	0	0
2020-04-02	1	0	0	0	1	0	0	0	3	0	0	0	0	4	0	7	2	0	0	0	0	0	0	5	0	0	11	4	0	595	43	4	0	13	0	0	2	5	0	0	7	0	0	1	0	2	5	10	0	0	0	2	0	2	0	0	2	0	0	0	4	0	2	22	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2020-04-03	0	0	1	3	0	2	0	0	0	0	3	0	2	1	0	0	0	0	0	0	3	0	17	0	0	1	10	3	0	448	34	0	0	0	0	0	0	0	0	11	1	2	0	0	0	0	1	0	1	5	0	0	2	0	0	0	0	6	0	0	0	1	0	9	4	0	1	0	0	0	0	1	0	0	5	0	0	1	8	2	2	0	0	10	0
2020-04-04	3	3	0	0	1	12	0	0	1	2	0	0	10	0	0	0	1	0	0	0	3	5	0	0	1	0	6	0	0	434	49	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	4	0	0	0	0	3	0	0	1	0	1	0	0	0	0	6	0	15	0	1	1	0	1	0	1	0	0	2	0	1	0	0	0	3	3	0	0	0	2
